id_cliente,nombre,correo,pais
CLI-00001,Paola Castillo,paola.castillo1@correo.com,Perú
CLI-00002,Eduardo López,eduardo.lopez2@correo.com,Guatemala
CLI-00003,Carlos García,carlos.garcia3@correo.com,Guatemala
CLI-00004,Paola Mendoza,paola.mendoza4@correo.com,Canadá
CLI-00005,Andrés Mérida,andres.merida5@correo.com,Costa Rica
CLI-00006,Miguel Castillo,miguel.castillo6@correo.com,Chile
CLI-00007,Ana García,ana.garcia7@correo.com,México
CLI-00008,Ana Torres,ana.torres8@correo.com,Costa Rica
CLI-00009,Fernanda Romero,fernanda.romero9@correo.com,Chile
CLI-00010,Carlos Silva,carlos.silva10@correo.com,México
CLI-00011,Paola Alvarez,paola.alvarez11@correo.com,Argentina
CLI-00012,Valeria Ramírez,valeria.ramirez12@correo.com,Guatemala
CLI-00013,Eduardo Mendoza,eduardo.mendoza13@correo.com,Guatemala
CLI-00014,María Romero,maria.romero14@correo.com,Argentina
CLI-00015,Paola Sánchez,paola.sanchez15@correo.com,Chile
CLI-00016,Carlos Mérida,carlos.merida16@correo.com,Chile
CLI-00017,Ana Morales,ana.morales17@correo.com,México
CLI-00018,Diego Flores,diego.flores18@correo.com,Chile
CLI-00019,Natalia Castillo,natalia.castillo19@correo.com,Canadá
CLI-00020,Paola Rojas,paola.rojas20@correo.com,Honduras
CLI-00021,Ricardo Silva,ricardo.silva21@correo.com,Chile
CLI-00022,Ana Gómez,ana.gomez22@correo.com,Honduras
CLI-00023,Sofía Vargas,sofia.vargas23@correo.com,Colombia
CLI-00024,Sebastian Pérez,sebastian.perez24@correo.com,Perú
CLI-00025,Carlos Castillo,carlos.castillo25@correo.com,México
CLI-00026,Luis Rojas,luis.rojas26@correo.com,Perú
CLI-00027,Miguel Castillo,miguel.castillo27@correo.com,Costa Rica
CLI-00028,Juan Pérez,juan.perez28@correo.com,Argentina
CLI-00029,Miguel Flores,miguel.flores29@correo.com,México
CLI-00030,Valeria Rojas,valeria.rojas30@correo.com,Honduras
CLI-00031,Carlos Rojas,carlos.rojas31@correo.com,Costa Rica
CLI-00032,María Alvarez,maria.alvarez32@correo.com,Colombia
CLI-00033,Andrés López,andres.lopez33@correo.com,Perú
CLI-00034,Juan López,juan.lopez34@correo.com,México
CLI-00035,Eduardo Castillo,eduardo.castillo35@correo.com,Canadá
CLI-00036,Andrés Sánchez,andres.sanchez36@correo.com,Argentina
CLI-00037,Eduardo Mérida,eduardo.merida37@correo.com,Canadá
CLI-00038,Camila Silva,camila.silva38@correo.com,Honduras
CLI-00039,Sofía Alvarez,sofia.alvarez39@correo.com,Honduras
CLI-00040,Juan Cruz,juan.cruz40@correo.com,Canadá
CLI-00041,Natalia López,natalia.lopez41@correo.com,México
CLI-00042,Lucía Silva,lucia.silva42@correo.com,Canadá
CLI-00043,Valeria Morales,valeria.morales43@correo.com,Colombia
CLI-00044,Ana Sánchez,ana.sanchez44@correo.com,Panamá
CLI-00045,Ricardo Gómez,ricardo.gomez45@correo.com,Guatemala
CLI-00046,Ana Pérez,ana.perez46@correo.com,Argentina
CLI-00047,Eduardo Mérida,eduardo.merida47@correo.com,Argentina
CLI-00048,Natalia Romero,natalia.romero48@correo.com,Colombia
CLI-00049,Camila Flores,camila.flores49@correo.com,Panamá
CLI-00050,Paola Pérez,paola.perez50@correo.com,México
CLI-00051,Andrés Díaz,andres.diaz51@correo.com,Costa Rica
CLI-00052,Camila García,camila.garcia52@correo.com,Colombia
CLI-00053,Jorge García,jorge.garcia53@correo.com,Honduras
CLI-00054,Fernanda Díaz,fernanda.diaz54@correo.com,Colombia
CLI-00055,Fernanda Díaz,fernanda.diaz55@correo.com,Costa Rica
CLI-00056,Luis Alvarez,luis.alvarez56@correo.com,México
CLI-00057,Sebastian Ortiz,sebastian.ortiz57@correo.com,México
CLI-00058,Miguel Vargas,miguel.vargas58@correo.com,México
CLI-00059,Lucía Castillo,lucia.castillo59@correo.com,Colombia
CLI-00060,Miguel Ramírez,miguel.ramirez60@correo.com,Panamá
CLI-00061,Natalia Flores,natalia.flores61@correo.com,Costa Rica
CLI-00062,Juan Silva,juan.silva62@correo.com,Chile
CLI-00063,Fernanda Gómez,fernanda.gomez63@correo.com,Chile
CLI-00064,Ileana Torres,ileana.torres64@correo.com,Perú
CLI-00065,Carlos Ortiz,carlos.ortiz65@correo.com,Colombia
CLI-00066,Sofía Pérez,sofia.perez66@correo.com,México
CLI-00067,Lucía Torres,lucia.torres67@correo.com,Canadá
CLI-00068,Ricardo Ortiz,ricardo.ortiz68@correo.com,Perú
CLI-00069,Diego Alvarez,diego.alvarez69@correo.com,Costa Rica
CLI-00070,Jorge Ortiz,jorge.ortiz70@correo.com,Costa Rica
CLI-00071,Carlos Mendoza,carlos.mendoza71@correo.com,Argentina
CLI-00072,Natalia Alvarez,natalia.alvarez72@correo.com,Panamá
CLI-00073,Jorge García,jorge.garcia73@correo.com,Chile
CLI-00074,Ileana Gómez,ileana.gomez74@correo.com,Colombia
CLI-00075,Ileana Díaz,ileana.diaz75@correo.com,Colombia
CLI-00076,Ileana Díaz,ileana.diaz76@correo.com,Canadá
CLI-00077,Juan Pérez,juan.perez77@correo.com,Canadá
CLI-00078,Natalia Sánchez,natalia.sanchez78@correo.com,Panamá
CLI-00079,Juan Sánchez,juan.sanchez79@correo.com,Panamá
CLI-00080,Sofía López,sofia.lopez80@correo.com,Guatemala
CLI-00081,Ana Pérez,ana.perez81@correo.com,México
CLI-00082,Valeria Torres,valeria.torres82@correo.com,México
CLI-00083,Paola Cruz,paola.cruz83@correo.com,Argentina
CLI-00084,Paola Rojas,paola.rojas84@correo.com,México
CLI-00085,Sofía Gómez,sofia.gomez85@correo.com,Colombia
CLI-00086,Valeria Sánchez,valeria.sanchez86@correo.com,Honduras
CLI-00087,Valeria Mendoza,valeria.mendoza87@correo.com,Guatemala
CLI-00088,Luis Mérida,luis.merida88@correo.com,Guatemala
CLI-00089,Sebastian Ramírez,sebastian.ramirez89@correo.com,Chile
CLI-00090,Natalia Flores,natalia.flores90@correo.com,Canadá
CLI-00091,María Morales,maria.morales91@correo.com,Chile
CLI-00092,Sofía Romero,sofia.romero92@correo.com,Canadá
CLI-00093,Ricardo Mendoza,ricardo.mendoza93@correo.com,Costa Rica
CLI-00094,María Torres,maria.torres94@correo.com,Perú
CLI-00095,Paola Mendoza,paola.mendoza95@correo.com,Argentina
CLI-00096,Juan Ramírez,juan.ramirez96@correo.com,Colombia
CLI-00097,Paola Ortiz,paola.ortiz97@correo.com,Perú
CLI-00098,Camila Silva,camila.silva98@correo.com,Argentina
CLI-00099,Diego Torres,diego.torres99@correo.com,Panamá
CLI-00100,Ileana Sánchez,ileana.sanchez100@correo.com,Guatemala
CLI-00101,Sofía Gómez,sofia.gomez101@correo.com,Panamá
CLI-00102,Luis Alvarez,luis.alvarez102@correo.com,Argentina
CLI-00103,Fernanda Torres,fernanda.torres103@correo.com,México
